CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Profit1,Profit2,Cost1,Cost2
15634602,Hargrave,619,France,Female,42,2,0.0,1,1,1,101348.88,698.82,1709.91,328.0,206.1
15647311,Hill,608,Spain,Female,41,1,83807.86,1,0,1,112542.58,501.74,918.42,311.1,208.2
15619304,Onio,502,France,Female,42,8,159660.8,3,1,0,113931.57,1876.88,1420.15,259.17,217.8
15701354,Boni,699,France,Female,39,1,0.0,2,0,0,93826.63,2197.7,1230.17,321.0,201.1
15737888,Mitchell,850,Spain,Female,43,2,125510.82,1,1,1,79084.1,1475.47,1669.27,290.24,182.0
15574012,Chu,645,Spain,Male,44,8,113755.78,2,1,0,149756.71,1575.53,522.59,289.12,201.5
15592531,Bartlett,822,France,Male,50,7,0.0,2,1,1,10062.8,1292.37,1436.36,321.0,177.8
15656148,Obinna,376,Germany,Female,29,4,115046.74,4,1,0,119346.88,2289.69,1099.49,274.48,243.4
15792365,He,501,France,Male,44,4,142051.07,2,0,1,74940.5,1365.91,1099.1,274.97,215.9
15592389,H?,684,France,Male,27,2,134603.88,1,1,1,71725.73,1728.63,881.92,285.7,214.6
15767821,Bearce,528,France,Male,31,6,102016.72,2,0,0,80181.12,1810.07,1764.23,294.99,226.2
15737173,Andrews,497,Spain,Male,24,3,0.0,2,1,0,76390.01,1486.34,1464.47,321.0,236.3
15632264,Kay,476,France,Female,34,10,0.0,2,1,0,26260.98,1146.95,1018.74,321.0,228.4
15691483,Chin,549,France,Female,25,5,0.0,2,0,0,190857.79,863.19,29.68,321.0,230.1
15600882,Scott,635,Spain,Female,35,7,0.0,2,1,1,65951.65,990.86,750.02,321.0,211.5
15643966,Goforth,616,Germany,Male,45,3,143129.41,2,0,1,64327.26,1476.11,1445.44,274.44,203.4
15737452,Romeo,653,Germany,Male,58,1,132602.88,1,1,0,5097.67,97.8,1118.91,286.7,186.7
15788218,Henderson,549,Spain,Female,24,9,0.0,2,1,1,14406.41,1077.98,1528.77,321.0,231.1
15661507,Muldrow,587,Spain,Male,45,6,0.0,1,0,0,158684.81,829.89,3496.04,328.0,206.3
15568982,Hao,726,France,Female,24,6,0.0,2,1,1,54724.03,1446.96,560.76,321.0,213.4
15577657,McDonald,732,France,Male,41,8,0.0,2,1,1,170886.17,1743.52,1109.87,321.0,195.8
15597945,Dellucci,636,Spain,Female,32,8,0.0,2,1,0,138555.46,1284.73,774.46,321.0,214.4
15699309,Gerasimov,510,Spain,Female,38,4,0.0,1,1,0,118913.53,683.49,951.02,328.0,221.0
15725737,Mosman,669,France,Male,46,3,0.0,2,0,1,8487.75,465.33,1963.08,321.0,197.1
15625047,Yen,846,France,Female,38,5,0.0,1,1,1,187616.16,760.53,1810.48,328.0,187.4
15738191,Maclean,577,France,Male,25,3,0.0,2,0,1,124508.29,882.27,869.85,321.0,227.3
15736816,Young,756,Germany,Male,36,2,136815.64,1,1,1,170041.95,324.56,2302.26,284.59,198.4
15700772,Nebechi,571,France,Male,44,9,0.0,2,0,0,38433.35,792.69,1273.76,321.0,208.9
15728693,McWilliams,574,Germany,Female,43,3,141349.43,1,1,1,100187.43,820.99,663.72,282.33,209.6
15656300,Lucciano,411,France,Male,29,0,59697.17,2,1,1,53483.21,2096.11,573.23,316.15,239.9
15589475,Azikiwe,591,Spain,Female,39,3,0.0,3,1,0,140469.38,1059.72,773.22,314.0,211.9
15706552,Odinakachukwu,533,France,Male,36,7,85311.7,1,0,1,156731.91,350.67,1726.19,310.34,220.7
15750181,Sanderson,553,Germany,Male,41,9,110112.54,2,0,0,81898.81,1376.59,1599.85,290.94,213.7
15659428,Maggard,520,Spain,Female,42,6,0.0,2,1,1,34410.55,1376.36,1179.25,321.0,216.0
15732963,Clements,722,Spain,Female,29,9,0.0,2,1,1,142033.07,1689.5,2002.86,321.0,208.8
15794171,Lombardo,475,France,Female,45,0,134264.04,1,1,0,27822.99,948.47,1128.31,285.87,217.5
15788448,Watson,490,Spain,Male,31,3,145260.23,1,0,1,114066.77,333.25,1323.57,280.37,230.0
15729599,Lorenzo,804,Spain,Male,33,7,76548.6,1,0,1,98453.45,1543.57,547.6,314.73,196.6
15717426,Armstrong,850,France,Male,36,7,0.0,1,1,1,40812.9,602.22,796.33,328.0,189.0
15585768,Cameron,582,Germany,Male,41,6,70349.48,2,0,1,178074.04,1188.29,834.61,310.83,210.8
15619360,Hsiao,472,Spain,Male,40,4,0.0,1,1,0,70154.22,1201.27,1526.63,328.0,222.8
15738148,Clarke,465,France,Female,51,8,122522.32,1,0,0,181297.65,1268.83,1207.53,291.74,212.5
15687946,Osborne,556,France,Female,61,2,117419.35,1,1,1,94153.83,517.96,2019.38,294.29,193.4
15755196,Lavine,834,France,Female,49,2,131394.56,1,0,0,194365.76,644.6,1345.78,287.3,177.6
15684171,Bianchi,660,Spain,Female,61,5,155931.11,1,1,1,158338.39,276.56,1071.9,275.03,183.0
15754849,Tyler,776,Germany,Female,32,4,109421.13,2,1,1,126517.46,1620.82,1867.35,291.29,200.4
15602280,Martin,829,Germany,Female,27,9,112045.67,1,1,1,119708.21,717.08,855.16,296.98,200.1
15771573,Okagbue,637,Germany,Female,39,9,137843.8,1,1,1,117622.8,862.28,1571.58,284.08,207.3
15766205,Yin,550,Germany,Male,38,2,103391.38,1,0,1,90878.13,735.24,1321.25,301.3,217.0
15771873,Buccho,776,Germany,Female,37,2,103769.22,2,1,0,194099.12,1536.46,176.73,294.12,195.4
15616550,Chidiebele,698,Germany,Male,44,10,116363.37,2,1,0,198059.16,1483.14,0.0,287.82,196.2
15768193,Trevisani,585,Germany,Male,36,5,146050.97,2,0,0,86424.57,1387.05,1052.95,272.97,215.5
15683553,O'Brien,788,France,Female,33,5,0.0,2,0,0,116978.19,1066.92,1588.43,321.0,198.2
15702298,Parkhill,655,Germany,Male,41,8,125561.97,1,0,0,164040.94,969.13,876.13,290.22,203.5
15569590,Yoo,601,Germany,Male,42,1,98495.72,1,1,0,40014.76,1335.73,1779.21,303.75,207.9
15760861,Phillipps,619,France,Male,43,1,125211.92,1,1,1,113410.49,689.11,1377.46,290.39,205.1
15630053,Tsao,656,France,Male,45,5,127864.4,1,1,0,87107.57,845.1,1669.23,289.07,199.4
15647091,Endrizzi,725,Germany,Male,19,0,75888.2,1,0,0,45613.75,1198.29,1168.66,315.06,218.5
15623944,T'ien,511,Spain,Female,66,4,0.0,1,1,0,1643.11,967.36,1456.57,328.0,192.9
15804771,Velazquez,614,France,Male,51,4,40685.92,1,1,1,46775.28,591.34,2216.91,328.0,197.6
15651280,Hunter,742,Germany,Male,35,5,136857.0,1,0,0,84509.57,1083.45,1010.38,284.57,200.8
15773469,Clark,687,Germany,Female,27,9,152328.88,2,0,0,126494.82,1033.23,149.04,269.84,214.3
15702014,Jeffrey,555,Spain,Male,33,1,56084.69,2,0,0,178798.13,1316.43,1748.07,317.96,221.5
15751208,Pirozzi,684,Spain,Male,56,8,78707.16,1,1,1,99398.36,1096.93,546.97,313.65,185.6
15592461,Jackson,603,Germany,Male,26,4,109166.37,1,1,1,92840.67,766.53,1461.86,298.42,223.7
15789484,Hammond,751,Germany,Female,36,6,169831.46,2,1,1,27758.36,1579.54,1119.57,261.08,198.9
15696061,Brownless,581,Germany,Female,34,1,101633.04,1,1,0,110431.51,936.96,1516.74,302.18,217.9
15641582,Chibugo,735,Germany,Male,43,10,123180.01,2,1,1,196673.28,1479.62,12.81,284.41,193.5
15638424,Glauert,661,Germany,Female,35,5,150725.53,2,0,1,113656.85,1346.76,906.63,270.64,208.9
15755648,Pisano,675,France,Female,21,8,98373.26,1,1,0,18203.0,632.8,0.0,303.81,221.5
15703793,Konovalova,738,Germany,Male,58,2,133745.44,4,1,0,28373.86,2192.97,885.07,265.13,178.2
15620344,McKee,813,France,Male,29,6,0.0,1,1,0,33953.87,2120.41,2356.95,328.0,199.7
15812518,Palermo,657,Spain,Female,37,0,163607.18,1,0,1,44203.55,0.0,998.72,271.2,207.3
15779052,Ballard,604,Germany,Female,25,5,157780.84,2,1,1,58426.81,1081.07,1441.24,267.11,224.6
15770811,Wallace,519,France,Male,36,9,0.0,2,0,1,145562.4,1613.15,1607.88,321.0,222.1
15780961,Cavenagh,735,France,Female,21,1,178718.19,2,1,0,22388.0,1432.36,1165.46,256.64,215.5
15614049,Hu,664,France,Male,55,8,0.0,2,1,1,139161.64,1984.13,1362.87,321.0,188.6
15662085,Read,678,France,Female,32,9,0.0,1,1,1,148210.64,0.0,1012.34,328.0,210.2
15575185,Bushell,757,Spain,Male,33,5,77253.22,1,0,1,194239.63,732.0,1612.07,314.37,201.3
15803136,Postle,416,Germany,Female,41,10,122189.66,2,1,0,98301.61,1134.25,2079.18,284.91,227.4
15706021,Buley,665,France,Female,34,1,96645.54,2,0,0,171413.66,1260.73,1056.55,297.68,209.5
15663706,Leonard,777,France,Female,32,2,0.0,1,1,0,136458.19,698.45,1043.31,328.0,200.3
15641732,Mills,543,France,Female,36,3,0.0,2,0,0,26019.59,1922.41,0.0,321.0,219.7
15701164,Onyeorulu,506,France,Female,34,4,90307.62,1,1,1,159235.29,644.54,900.51,307.85,225.4
15738751,Beit,493,France,Female,46,4,0.0,2,1,0,1907.66,1875.19,1284.0,321.0,214.7
15805254,Ndukaku,652,Spain,Female,75,10,0.0,2,1,1,114675.75,1009.39,1606.38,321.0,169.8
15762418,Gant,750,Spain,Male,22,3,121681.82,1,1,0,128643.35,919.49,0.0,292.16,213.0
15625759,Rowley,729,France,Male,30,9,0.0,2,1,0,151869.35,1920.09,1744.26,321.0,207.1
15622897,Sharpe,646,France,Female,46,4,0.0,3,1,0,93251.42,2126.17,1269.03,314.0,199.4
15767954,Osborne,635,Germany,Female,28,3,81623.67,2,1,1,156791.36,1819.43,1110.02,305.19,218.5
15757535,Heap,647,Spain,Female,44,5,0.0,3,1,1,174205.22,3109.55,980.41,314.0,201.3
15731511,Ritchie,808,France,Male,45,7,118626.55,2,1,0,147132.46,1320.26,546.43,286.69,184.2
15809248,Cole,524,France,Female,36,10,0.0,2,1,0,109614.57,1589.66,930.57,321.0,221.6
15640635,Capon,769,France,Male,29,8,0.0,2,1,1,172290.61,1120.97,1680.53,321.0,204.1
15676966,Capon,730,Spain,Male,42,4,0.0,2,0,1,85982.47,1562.7,1030.35,321.0,195.0
15699461,Fiorentini,515,Spain,Male,35,10,176273.95,1,0,1,121277.78,709.88,1618.97,264.86,223.5
15738721,Graham,773,Spain,Male,41,9,102827.44,1,0,1,64595.25,1249.4,847.27,301.59,191.7
15693683,Yuille,814,Germany,Male,29,8,97086.4,2,1,1,197276.13,1065.13,1445.85,297.46,199.6
15604348,Allard,710,Spain,Male,22,8,0.0,2,0,0,99645.04,645.24,762.27,321.0,217.0
15633059,Fanucci,413,France,Male,34,9,0.0,2,0,0,6534.18,1602.02,2051.91,321.0,234.7
15808582,Fu,665,France,Female,40,6,0.0,1,1,1,161848.03,1575.34,1140.05,328.0,203.5
15743192,Hung,623,France,Female,44,6,0.0,2,0,0,167162.43,1626.86,2463.06,321.0,203.7
15580146,Hung,738,France,Male,31,9,82674.15,1,1,0,41970.72,1203.44,760.02,311.66,205.2
15776605,Bradley,528,Spain,Male,36,7,0.0,2,1,0,60536.56,1569.54,1086.12,321.0,221.2
15804919,Dunbabin,670,Spain,Female,65,1,0.0,1,1,1,177655.68,563.02,712.91,328.0,178.0
15613854,Mauldon,622,Spain,Female,46,4,107073.27,2,1,1,30984.59,1428.05,718.5,292.46,201.8
15599195,Stiger,582,Germany,Male,32,1,88938.62,1,1,1,10054.53,1051.45,366.99,308.53,219.8
15812878,Parsons,785,Germany,Female,36,2,99806.85,1,0,1,36976.52,1025.49,1794.55,303.1,195.5
15602312,Walkom,605,Spain,Male,33,5,150092.8,1,0,0,71862.79,0.0,557.1,277.95,216.5
15744689,T'ang,479,Germany,Male,35,9,92833.89,1,1,0,99449.86,1265.53,666.34,306.58,227.1
15803526,Eremenko,685,Germany,Male,30,3,90536.81,1,0,1,63082.88,421.52,788.09,307.73,211.5
15665790,Rowntree,538,Germany,Male,39,7,108055.1,2,1,0,27231.26,1308.49,935.35,291.97,217.2
15715951,Thorpe,562,France,Male,42,2,100238.35,1,0,0,86797.41,1401.13,1362.68,302.88,211.8
15591100,Chiemela,675,Spain,Male,36,9,106190.55,1,0,1,22994.32,389.49,2047.21,299.9,206.5
15609618,Fanucci,721,Germany,Male,28,9,154475.54,2,0,1,101300.94,1397.34,799.08,268.76,209.9
15675522,Ko,628,Germany,Female,30,9,132351.29,2,1,1,74169.13,1361.53,1538.94,279.82,217.2
15705512,Welch,668,Germany,Female,37,6,167864.4,1,1,0,115638.29,1073.79,414.24,269.07,206.2
15698028,Duncan,506,France,Female,41,1,0.0,2,1,0,31766.3,1192.08,1193.43,321.0,218.4
15661670,Chidozie,524,Germany,Female,31,8,107818.63,1,1,0,199725.39,798.87,697.44,299.09,226.6
15600781,Wu,699,Germany,Male,34,4,185173.81,2,1,0,120834.48,975.62,746.13,253.41,206.1
15682472,Culbreth,828,France,Male,34,8,129433.34,2,0,0,38131.77,927.09,1207.12,281.28,193.2
15580203,Kennedy,674,Spain,Male,39,6,120193.42,1,0,0,100130.95,340.92,2381.8,292.9,203.6
15690673,Cameron,656,France,Female,39,6,0.0,2,1,0,141069.88,2147.99,1810.94,321.0,205.4
15760085,Calabresi,684,Germany,Female,48,10,126384.42,1,1,1,198129.36,864.4,1140.89,289.81,193.6
15779659,Zetticci,625,France,Female,28,3,0.0,1,0,0,183646.41,828.95,402.76,328.0,219.5
15627360,Fuller,432,France,Male,42,9,152603.45,1,1,0,110265.24,753.0,846.51,276.7,224.8
15671137,MacDonald,549,France,Female,52,1,0.0,1,0,1,8636.05,2159.49,991.44,328.0,203.1
15782688,Piccio,625,Germany,Male,56,0,148507.24,1,1,0,46824.08,895.47,517.16,278.75,191.5
15575492,Kennedy,828,France,Female,41,7,0.0,2,1,0,171378.77,1101.8,1429.89,321.0,186.2
15591607,Fernie,770,France,Male,24,9,101827.07,1,1,0,167256.35,980.39,418.05,302.09,209.0
